Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,39.3899993896484,39.6100006103516,38.7999992370605,39.5499992370605,161500,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-19,39.5999984741211,40.2000007629395,39.5,39.8899993896484,121200,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-20,40.439998626709,41.5400009155273,40.439998626709,41.5400009155273,197400,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-21,41.8699989318848,41.9099998474121,41.2900009155273,41.5699996948242,108800,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-25,41.6699981689453,41.75,40.4300003051758,40.5200004577637,151000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-26,40.6100006103516,40.6100006103516,40.0299987792969,40.3800010681152,250800,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-27,40.4799995422363,41.0499992370605,40.0400009155273,40.8600006103516,295900,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-28,40.8300018310547,41.2700004577637,40.6399993896484,40.9099998474121,121300,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-04-29,40.9599990844727,41.1300010681152,40.1500015258789,40.3800010681152,155000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-02,40.6399993896484,40.7299995422363,39.25,39.4799995422363,113000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-03,39.439998626709,40.0200004577637,39.2400016784668,39.9000015258789,229000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-04,39.9199981689453,40.3400001525879,39.1399993896484,39.4900016784668,155000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-05,39.1699981689453,40.810001373291,39.1199989318848,39.7000007629395,165000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-06,40.1800003051758,40.7400016784668,39.2400016784668,39.7299995422363,134400,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-09,39.6500015258789,40.6800003051758,39.4000015258789,40.2299995422363,111000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-10,40.439998626709,41.2599983215332,40.3699989318848,41.2200012207031,115000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-11,41.2099990844727,41.689998626709,39.939998626709,40.2900009155273,170800,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-12,40.1300010681152,41.5299987792969,39.5400009155273,41.2999992370605,121000,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-13,41.6300010681152,42.4900016784668,41.4099998474121,41.8800010681152,275300,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-16,41.5499992370605,41.6300010681152,40.7900009155273,40.9900016784668,219700,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-17,40.7099990844727,41.3600006103516,40.1599998474121,41.1199989318848,205100,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-18,41.2999992370605,41.9300003051758,41.0099983215332,41.5299987792969,276900,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-19,41.8400001525879,42.2900009155273,41.060001373291,41.6599998474121,232200,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
2011-05-20,41.4000015258789,41.9099998474121,40.4099998474121,40.7799987792969,255800,0,0,GCO,Consumer Services,Clothing/Shoe/Accessory Stores
