Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-06-24,14.4053028093888,14.5540032766018,13.6952608437667,13.8476781845093,1675400,0,0,MPC,Energy,Integrated oil Companies
2011-06-27,13.6394980546366,14.1079035419413,13.6023236462339,13.9963788986206,895200,0,0,MPC,Energy,Integrated oil Companies
2011-06-28,14.2528848046681,14.8662724307058,14.0149652027012,14.3867149353027,4151800,0,0,MPC,Energy,Integrated oil Companies
2011-06-29,14.498236476008,15.2305837466689,14.3867118636611,14.8960084915161,3695200,0,0,MPC,Energy,Integrated oil Companies
2011-06-30,15.1190595520836,15.613487331612,14.9369029940245,15.390438079834,3025600,0,0,MPC,Energy,Integrated oil Companies
2011-07-01,15.3160869701756,17.632087286828,15.2417367511815,15.6878366470337,8334200,0,0,MPC,Energy,Integrated oil Companies
2011-07-05,15.691556930542,15.9852395794416,15.4833779738438,15.691556930542,11823000,0,0,MPC,Energy,Integrated oil Companies
2011-07-06,15.4647906780199,15.7064286084724,15.2454582454611,15.5725984573364,10983000,0,0,MPC,Energy,Integrated oil Companies
2011-07-07,15.6841164730912,16.0818884661239,15.5056768197962,15.531699180603,16707600,0,0,MPC,Energy,Integrated oil Companies
2011-07-08,15.1673917098243,15.8365410729715,15.0633022185674,15.3941593170166,16417000,0,0,MPC,Energy,Integrated oil Companies
2011-07-11,15.163670871448,15.163670871448,14.6878302827184,14.9071626663208,9495200,0,0,MPC,Energy,Integrated oil Companies
2011-07-12,14.8179459836551,15.238023618688,14.6618103436314,15.0484304428101,8011200,0,0,MPC,Energy,Integrated oil Companies
2011-07-13,15.0632991091798,15.330959366433,14.5874599123853,14.8551187515259,11642800,0,0,MPC,Energy,Integrated oil Companies
2011-07-14,14.8588402314735,14.8774274381908,14.2045597773675,14.3644123077393,11528400,0,0,MPC,Energy,Integrated oil Companies
2011-07-15,14.4982355320348,14.6729583114732,14.163660298666,14.5577154159546,9938400,0,0,MPC,Energy,Integrated oil Companies
2011-07-18,14.3978664237552,14.7175714084838,14.0335518698892,14.5428485870361,8311600,0,0,MPC,Energy,Integrated oil Companies
2011-07-19,14.5948924474021,14.8476823542421,14.5465660079419,14.7733335494995,6423000,0,0,MPC,Energy,Integrated oil Companies
2011-07-20,14.7919166901997,14.8476782784498,14.6469345753927,14.6952610015869,5449000,0,0,MPC,Energy,Integrated oil Companies
2011-07-21,14.6952654470234,14.9592088164556,14.5391312509569,14.9071626663208,7249200,0,0,MPC,Energy,Integrated oil Companies
2011-07-22,14.9740804241804,15.1748256422362,14.8365334050442,15.0818881988525,6645600,0,0,MPC,Energy,Integrated oil Companies
2011-07-25,15.3346733894753,15.6580951948,15.1116241619642,15.379282951355,8898600,0,0,MPC,Energy,Integrated oil Companies
2011-07-26,15.3867234589343,16.2529011434456,15.3421138815604,16.0038280487061,11324200,0,0,MPC,Energy,Integrated oil Companies
2011-07-27,15.9926721002334,16.0967615613704,15.6023352028572,15.6357927322388,6998400,0,0,MPC,Energy,Integrated oil Companies
2011-07-28,15.7733381983603,15.9629299011244,15.684117655928,15.903450012207,6654600,0,0,MPC,Energy,Integrated oil Companies
2011-07-29,15.743600604901,16.5837557945353,15.6023367275852,16.2789211273193,10709600,0,0,MPC,Energy,Integrated oil Companies
2011-08-01,16.7436146170358,16.8700096305559,16.3532775340838,16.7175922393799,11518400,0,0,MPC,Energy,Integrated oil Companies
2011-08-02,16.554015236072,16.6915636589827,15.7064262945638,15.7361669540405,10995600,0,0,MPC,Energy,Integrated oil Companies
2011-08-03,16.0893287248351,16.8774392158092,14.5056754139394,15.4015922546387,13413800,0,0,MPC,Energy,Integrated oil Companies
2011-08-04,15.1339314845458,15.1339314845458,13.8402425672561,14.2826242446899,15377800,0,0,MPC,Energy,Integrated oil Companies
2011-08-05,14.4647797217102,14.5800226308767,12.4313085563224,13.8699808120728,12348600,0,0,MPC,Energy,Integrated oil Companies
2011-08-08,13.1004597173908,13.3829888582056,10.9591807059349,12.0186681747437,16543000,0,0,MPC,Energy,Integrated oil Companies
2011-08-09,12.2937655495295,13.5354099157294,12.0521276166679,13.4201669692993,12054200,0,0,MPC,Energy,Integrated oil Companies
2011-08-10,13.2157005945182,13.6952580131438,12.6840984485589,13.0558481216431,9682600,0,0,MPC,Energy,Integrated oil Companies
2011-08-11,13.3458186364261,14.3495419806763,13.1710957733677,13.8811378479004,8756400,0,0,MPC,Energy,Integrated oil Companies
2011-08-12,13.9740700906815,14.5428466294887,13.717563330028,13.9071550369263,5906800,0,0,MPC,Energy,Integrated oil Companies
2011-08-15,14.1613107050881,14.8191079469531,14.1613107050881,14.6135454177856,5365400,0.1,0,MPC,Energy,Integrated oil Companies
2011-08-16,14.336969813417,14.740616808013,14.2472696892095,14.5238437652588,6532400,0,0,MPC,Energy,Integrated oil Companies
2011-08-17,14.8116328162801,14.9349689080452,14.5051595873665,14.6135454177856,5627600,0,0,MPC,Energy,Integrated oil Companies
2011-08-18,14.2435307866451,14.393029071152,13.2344113068504,13.6829090118408,7501400,0,0,MPC,Energy,Integrated oil Companies
2011-08-19,13.3726990579278,13.7053344521581,12.946626691128,13.0774393081665,9878600,0,0,MPC,Energy,Integrated oil Companies
2011-08-22,13.3876484781809,13.4549232082811,12.0907429238141,12.1729679107666,10774000,0,0,MPC,Energy,Integrated oil Companies
2011-08-23,12.1953894507127,12.9690471771877,11.978615071911,12.8008604049683,10360000,0,0,MPC,Energy,Integrated oil Companies
2011-08-24,12.8569264972451,13.4661344608593,12.5990395705423,13.3913860321045,6723400,0,0,MPC,Energy,Integrated oil Companies
2011-08-25,13.5259307274852,13.7912927168443,12.6775231533437,12.8494482040405,6376000,0,0,MPC,Energy,Integrated oil Companies
2011-08-26,12.8569227691742,13.7389662340386,12.7335853311696,13.0325832366943,5880400,0,0,MPC,Energy,Integrated oil Companies
2011-08-29,13.1820878494677,13.589473094176,13.0961260084769,13.4549236297607,4175000,0,0,MPC,Energy,Integrated oil Companies
2011-08-30,13.4138105524099,13.5969476322955,12.9877382174236,13.4661350250244,4385200,0,0,MPC,Energy,Integrated oil Companies
2011-08-31,13.6455336904372,13.9968575899986,13.6455336904372,13.8510961532593,5731000,0,0,MPC,Energy,Integrated oil Companies
2011-09-01,13.9893827971156,14.2846439546704,13.7950337348922,13.832407951355,4515400,0,0,MPC,Energy,Integrated oil Companies
2011-09-02,13.3913857178579,13.8249331528426,13.1260236693597,13.2381477355957,3594200,0,0,MPC,Energy,Integrated oil Companies
2011-09-06,12.7933897653589,13.2306755264795,12.4420672713124,13.0811758041382,5723400,0,0,MPC,Energy,Integrated oil Companies
2011-09-07,13.2979499761058,13.8025090332391,13.1746124939374,13.5633106231689,5212200,0,0,MPC,Energy,Integrated oil Companies
2011-09-08,13.5147213077931,14.258480107572,13.2942100338045,14.101505279541,4086600,0,0,MPC,Energy,Integrated oil Companies
2011-09-09,13.6866474231004,14.120194921338,13.4287618905597,13.5857353210449,5889000,0,0,MPC,Energy,Integrated oil Companies
2011-09-12,13.2082464492217,13.7838183659304,13.0400596650231,13.7015933990479,3919200,0,0,MPC,Energy,Integrated oil Companies
2011-09-13,13.6044233091279,13.690385149851,12.8718763857859,13.2082500457764,7147000,0,0,MPC,Energy,Integrated oil Companies
2011-09-14,13.1708772530619,13.197039493254,12.8793529076234,13.0923891067505,7640600,0,0,MPC,Energy,Integrated oil Companies
2011-09-15,13.4100728246081,13.8137197482046,13.167136159651,13.2381477355957,6081400,0,0,MPC,Energy,Integrated oil Companies
2011-09-16,13.2792610411651,13.331585513572,13.0288506587219,13.1185493469238,7195400,0,0,MPC,Energy,Integrated oil Companies
2011-09-19,12.7747043391403,12.916728951498,12.3710558910926,12.5392427444458,5096200,0,0,MPC,Energy,Integrated oil Companies
2011-09-20,12.5467167375624,12.7933902915568,12.5205544989368,12.5915660858154,3859200,0,0,MPC,Energy,Integrated oil Companies
2011-09-21,12.4644905941494,12.8793509479801,12.0870058818599,12.1094312667847,4013000,0,0,MPC,Energy,Integrated oil Companies
2011-09-22,11.6459820472894,11.7356814388004,10.7788872164824,11.0143480300903,11073600,0,0,MPC,Energy,Integrated oil Companies
2011-09-23,10.9059636832486,11.3320360551611,10.8611136222153,11.0367755889893,6768000,0,0,MPC,Energy,Integrated oil Companies
2011-09-26,11.1750613123888,11.3469857054639,11.0255623050631,11.2498111724854,7971000,0,0,MPC,Energy,Integrated oil Companies
2011-09-27,11.5226449819335,11.8926552291933,11.1003102692635,11.1488971710205,9412400,0,0,MPC,Energy,Integrated oil Companies
2011-09-28,11.2012242858903,11.4516354069472,10.8087892767547,10.8312139511108,8844400,0,0,MPC,Energy,Integrated oil Companies
2011-09-29,11.0890994581736,11.1563741896014,9.8482566296484,10.40514087677,10516800,0,0,MPC,Energy,Integrated oil Companies
2011-09-30,10.229477364613,10.438775928201,10.0276532150741,10.1136150360107,9626800,0,0,MPC,Energy,Integrated oil Companies
2011-10-03,10.0575555369151,10.3901909267317,9.9454314564663,10.1472549438477,8648200,0,0,MPC,Energy,Integrated oil Companies
2011-10-04,10.0164446677174,10.7676781247263,9.96785774839881,10.7489910125732,10200000,0,0,MPC,Energy,Integrated oil Companies
2011-10-05,10.8648471859583,11.8777039784947,10.6630237677945,11.7655792236328,10463800,0,0,MPC,Energy,Integrated oil Companies
2011-10-06,11.7805350399871,12.4644930171988,11.623560879336,12.4420690536499,7978400,0,0,MPC,Energy,Integrated oil Companies
2011-10-07,12.6027782052753,12.6999520208567,11.6796205414444,11.810432434082,8532800,0,0,MPC,Energy,Integrated oil Companies
2011-10-10,12.0645799259241,12.5093407719375,11.9898314978493,12.3224668502808,5005200,0,0,MPC,Energy,Integrated oil Companies
