Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,7.3016433056235,7.44306115524997,7.2867568425967,7.43561792373657,99300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-19,7.44305833737267,7.46538731363369,7.32396951754676,7.38351392745972,71800,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-20,7.5621489671564,7.5621489671564,7.39095892513962,7.4505033493042,172900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-21,7.48027556038267,7.6068076391718,7.34630025111759,7.57703542709351,106000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-25,7.54726321501521,7.61425015982223,7.48027556038267,7.57703542709351,97000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-26,7.61425108640841,7.9194171846288,7.5844788707071,7.91197395324707,101600,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-27,7.91941623971336,8.18736614905431,7.88220079707074,8.1203784942627,200100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-28,8.12037668074351,8.14270565741216,7.95662919558091,8.01617431640625,169900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-04-29,8.05339090016322,8.11293532490994,7.92685882012003,7.94174528121948,234000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-02,7.97151667073107,8.19480859539471,7.85987106331199,7.87475681304932,118000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-03,7.86731219846068,8.06827510823202,7.80032456187023,7.82265424728394,96000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-04,7.85242672993272,7.89708468269384,7.78543909096568,7.81521129608154,103000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-05,7.77055480796245,7.97896101191808,7.75566905615166,7.80777025222778,97900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-06,7.91941408793399,7.9864010146991,7.79288204322433,7.82265424728394,62400,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-09,7.80032674007685,7.97151749359285,7.79288421935266,7.94174528121948,73000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-10,7.99384797940237,7.99384797940237,7.81521467155359,7.97151899337769,47800,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-11,7.94918879847093,7.9715177810999,7.71101038106815,7.80777025222778,79000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-12,7.74822244261959,8.01617295648786,7.72589346973898,7.95662784576416,53000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-13,7.97896101191808,8.00128999454706,7.8003270214096,7.80777025222778,54500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-16,7.78544008879239,7.82265552741331,7.5844771461347,7.59192037582397,124600,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-17,7.58447761800759,7.61424982879153,7.35374316188842,7.46538877487183,154200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-18,7.48027523517654,7.51004744596049,7.36118639204078,7.46538877487183,83200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-19,7.53237675507411,7.53981998555106,7.35374348258038,7.4505033493042,72100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-20,7.43561486313973,7.64402100077847,7.42817163469006,7.47283029556274,118800,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-23,7.2793125974619,7.54726321602802,7.2793125974619,7.4505033493042,104000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-24,7.48027446102277,7.49516020996143,7.30908373436298,7.34629917144775,113700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-25,7.32397229033807,7.51749205073272,7.32397229033807,7.43561792373657,95300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-26,7.40584427876502,7.61424975215503,7.37607206828073,7.60680723190308,75100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-27,7.61424867039019,7.69612276995915,7.56959071592111,7.67379379272461,76900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-05-31,7.80032639337924,7.83754183464823,7.74078197127905,7.79288387298584,388000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-01,7.77789827056359,7.84533680846784,7.47817151483397,7.48566484451294,105400,0.07,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-02,7.50814300787773,7.65051266414349,7.40323856169033,7.42571783065796,78700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-03,7.30582921442448,7.42571963078621,7.21591140215318,7.3133225440979,128500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-06,7.29833555221558,7.42571929244671,7.23089701743401,7.29833555221558,100600,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-07,7.35827871024148,7.65800536869431,7.35827871024148,7.38825130462646,112000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-08,7.38075886157231,7.61304629474249,7.38075886157231,7.52312850952148,141500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-09,7.54561106994563,7.74792671093211,7.49315918432841,7.55310440063477,107900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-10,7.50064999220433,7.54560853201081,7.38825221348194,7.41822481155396,103200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-13,7.48566602212628,7.51563863095408,7.25337848236166,7.26836442947388,98600,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-14,7.38076208129742,7.44070729759478,7.33580281177272,7.3582820892334,276000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-15,7.29084026077671,7.39574469938324,7.22340245874719,7.25337505340576,139700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-16,7.26086847520126,7.65800629193449,7.25337586165398,7.47067737579346,168100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-17,7.54560855354565,7.73293747068117,7.54560855354565,7.6430196762085,249300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-20,7.6205404062411,7.7704033970289,7.6205404062411,7.6430196762085,214000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-21,7.6954716928418,7.80786874901371,7.63552578633332,7.70296430587769,192900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-22,7.68798129101119,7.80787172044864,7.58307680795176,7.59806346893311,185300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-23,7.47817252295014,7.62054294763026,7.37326875171569,7.55310440063477,165500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-24,7.56809004177513,7.60555526096349,7.403240361854,7.48566484451294,692400,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-27,7.48566331342245,7.69547221390061,7.41822478931184,7.67299222946167,265000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-28,7.67299394080638,7.8078710191099,7.67299394080638,7.71795320510864,197000,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-29,7.76291084375332,7.76291084375332,7.66549971136664,7.68797969818115,177500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-06-30,7.7329369018304,7.75541688474722,7.6954716928418,7.70296430587769,147300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-01,7.74043093136016,8.16004802735145,7.717951661008,8.10759544372559,215100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-05,8.10010283001028,8.11508877204401,8.0026917056801,8.10759544372559,162100,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-06,8.06263425464567,8.24996311345471,8.06263425464567,8.24246978759766,161500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-07,8.30241872802082,8.53470693264556,8.26495279635835,8.39982986450195,110500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-08,8.27244416436286,8.50473231391624,8.27244416436286,8.45977306365967,134900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-11,8.35487135653981,8.53470770180614,8.33239208135774,8.44478988647461,146700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-12,8.4073248815783,8.72203762735847,8.4073248815783,8.61713314056396,122900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-13,8.63961024381934,8.92435030950972,8.63961024381934,8.8194465637207,131900,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-14,8.84192431797602,8.9093628370375,8.74451320317643,8.75200653076172,189500,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-15,8.77448823202252,8.90936530754603,8.72203635358705,8.79696750640869,136200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-18,8.7819798031188,8.84941832737618,8.45977383815717,8.57966423034668,88400,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-19,8.65459749333104,8.75950124629298,8.57966562869832,8.70704936981201,101800,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-20,8.7295264638308,8.82693757769109,8.63960867748354,8.81195163726807,82600,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-21,8.90186694827561,9.20908614485115,8.81944251236112,9.13415431976318,204300,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-22,9.14914616820587,9.17911877234777,8.97680315843748,8.99178981781006,156700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-25,8.93184241818557,9.18660984818866,8.81944535887977,9.07421207427979,212200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-26,9.07421451004628,9.12666710445803,9.0067766851225,9.0442419052124,91700,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-27,9.02175896185516,9.05922488131412,8.79696415970434,8.84941673278809,244200,0,0,MYE,Consumer Non-Durables,Plastic Products
2011-07-28,8.8269396860391,8.96181675507741,8.50473438665222,8.692063331604,191800,0,0,MYE,Consumer Non-Durables,Plastic Products
