Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,28.3546059234779,28.8586243399566,28.2466009961327,28.6930160522461,810400,0,0,TRI,Consumer Services,Publishing
2011-04-19,28.8010282237224,29.6578578245733,28.6930232692114,29.4418506622314,902200,0,0,TRI,Consumer Services,Publishing
2011-04-20,29.6866479996353,29.7730502817296,29.4562400829312,29.6290473937988,536100,0,0,TRI,Consumer Services,Publishing
2011-04-21,29.7154541027894,29.7658556704096,29.4274427906629,29.5282459259033,440200,0,0,TRI,Consumer Services,Publishing
2011-04-25,29.5930554012028,29.614658040113,29.3554483466307,29.4418506622314,426300,0,0,TRI,Consumer Services,Publishing
2011-04-26,29.5498508123459,29.765857939568,29.4994492408834,29.7010555267334,409600,0,0,TRI,Consumer Services,Publishing
2011-04-27,29.6578541886974,29.7442592403855,29.3626437954625,29.7298583984375,483000,0,0,TRI,Consumer Services,Publishing
2011-04-28,29.4562538251389,29.4562538251389,28.6282230998411,28.8802337646484,999200,0,0,TRI,Consumer Services,Publishing
2011-04-29,28.88022139687,29.1610308844366,28.7002150333858,29.1394309997559,760000,0,0,TRI,Consumer Services,Publishing
2011-05-02,29.0674322874876,29.5138501307167,28.9162275728518,29.0170307159424,723700,0,0,TRI,Consumer Services,Publishing
2011-05-03,28.8802275834664,28.9450299980696,28.3978089977141,28.6786212921143,609000,0,0,TRI,Consumer Services,Publishing
2011-05-04,28.5562196774994,28.7002253694848,28.2610092449354,28.6426219940186,721600,0,0,TRI,Consumer Services,Publishing
2011-05-05,28.347398854282,28.527405201903,28.1529916692499,28.2537975311279,687200,0,0,TRI,Consumer Services,Publishing
2011-05-06,28.4914169688997,28.6930232876577,28.1962065392839,28.3258113861084,657000,0,0,TRI,Consumer Services,Publishing
2011-05-09,28.4122030642125,28.4626046250316,28.1673943059429,28.3690032958984,783600,0,0,TRI,Consumer Services,Publishing
2011-05-10,28.4698179749102,28.5706211374697,28.3258122798194,28.563419342041,378300,0,0,TRI,Consumer Services,Publishing
2011-05-11,28.5634085712938,28.6426118110616,28.1097945108259,28.2249984741211,532800,0,0,TRI,Consumer Services,Publishing
2011-05-12,28.1457938147322,28.2969984939284,27.9297867377836,28.2609977722168,756000,0,0,TRI,Consumer Services,Publishing
2011-05-13,28.2321994219695,28.3258035067896,27.8361859431328,28.0377922058105,473000,0,0,TRI,Consumer Services,Publishing
2011-05-16,27.9945963664518,28.1458010847037,27.7785892337092,27.9441947937012,453500,0,0,TRI,Consumer Services,Publishing
2011-05-17,27.9079006833487,28.1546806652074,27.8280596938068,28.1474208831787,568100,0.31,0,TRI,Consumer Services,Publishing
2011-05-18,28.1256395682713,28.1982207564135,27.9369268178249,28.1909637451172,469600,0,0,TRI,Consumer Services,Publishing
2011-05-19,28.1764544737022,28.2490356812154,27.9224174786104,28.1474208831787,790100,0,0,TRI,Consumer Services,Publishing
2011-05-20,27.9804767105468,28.0820914897706,27.8207975298217,27.8716049194336,608600,0,0,TRI,Consumer Services,Publishing
2011-05-23,27.5885395195837,27.7845121222738,27.4651509005543,27.4941844940186,719500,0,0,TRI,Consumer Services,Publishing
2011-05-24,27.6393461372528,27.7772515352754,27.4433735597709,27.6828937530518,660900,0,0,TRI,Consumer Services,Publishing
2011-05-25,27.5014423037864,27.8498371290516,27.4506348981516,27.7337055206299,592400,0,0,TRI,Consumer Services,Publishing
2011-05-26,27.5740191834469,28.0530622908319,27.5595023900358,27.9949951171875,696500,0,0,TRI,Consumer Services,Publishing
2011-05-27,28.1256466619777,28.3143594600203,28.0675794817827,28.1546802520752,603400,0,0,TRI,Consumer Services,Publishing
2011-05-31,28.4522649783457,28.6917851523506,28.0748366486213,28.2853260040283,842300,0,0,TRI,Consumer Services,Publishing
2011-06-01,28.2200069245065,28.2200069245065,27.588538743992,27.610315322876,774900,0,0,TRI,Consumer Services,Publishing
2011-06-02,27.5159599103788,27.7699969460257,27.4651525032494,27.6320915222168,681600,0,0,TRI,Consumer Services,Publishing
2011-06-03,27.4143429822024,27.5885390021292,27.1457891696845,27.457893371582,754700,0,0,TRI,Consumer Services,Publishing
2011-06-06,27.4215972540769,27.5740222172662,27.2256246746583,27.2909488677979,857700,0,0,TRI,Consumer Services,Publishing
2011-06-07,27.4216064804338,27.6901631252532,27.2691842347555,27.3272514343262,637300,0,0,TRI,Consumer Services,Publishing
2011-06-08,27.0949826282246,27.2328880457856,27.0078818466952,27.116756439209,529800,0,0,TRI,Consumer Services,Publishing
2011-06-09,27.1820745648895,27.2764323393898,27.0731999967127,27.225622177124,423600,0,0,TRI,Consumer Services,Publishing
2011-06-10,27.1748139635105,27.2909455406231,26.6377064576628,26.7610950469971,576300,0,0,TRI,Consumer Services,Publishing
2011-06-13,26.6522240728967,26.9135208216577,26.6086736918381,26.6739978790283,592000,0,0,TRI,Consumer Services,Publishing
2011-06-14,26.8844842930761,27.1893286207499,26.8554507088801,27.1530380249023,638400,0,0,TRI,Consumer Services,Publishing
2011-06-15,26.8699723979239,27.0006207818213,26.6449662325903,26.6885166168213,998000,0,0,TRI,Consumer Services,Publishing
2011-06-16,26.5360898203752,26.8844845273794,26.5215730281506,26.7756099700928,714900,0,0,TRI,Consumer Services,Publishing
2011-06-17,26.94254972215,27.0949746606061,26.8336779304472,26.9135189056396,620400,0,0,TRI,Consumer Services,Publishing
2011-06-20,26.8046475178254,26.9933603070573,26.688515931653,26.8336811065674,402500,0,0,TRI,Consumer Services,Publishing
2011-06-21,27.1240039694923,27.1385207613381,26.8264166586399,26.9062576293945,693800,0,0,TRI,Consumer Services,Publishing
