Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,23.8982806578717,23.9745535151567,23.6122659291297,23.713960647583,12287800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-19,23.6885406535503,23.7965902507231,23.5868459166726,23.6694736480713,10475500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-20,23.9109985698838,24.1525244937072,23.9046437092068,24.0190505981445,14916000,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-21,23.56142489932,23.6186283482971,23.1991371973292,23.4597301483154,29997700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-25,23.5614224059935,23.5932015577081,23.4025242228268,23.5105762481689,10229100,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-26,23.6186252313281,23.9936250307796,23.5677790748331,23.9173545837402,14900000,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-27,23.9300695506147,24.4194738660342,23.9300695506147,24.3114242553711,18152600,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-28,24.2478624741998,24.3749790745214,24.0953191593825,24.3241329193115,11627100,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-04-29,24.1398162754171,24.2033770154986,23.917359746618,24.0126972198486,13422700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-02,24.3622665688183,24.3622665688183,23.7965870938488,23.872859954834,13413500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-03,23.9110065858917,24.1398204404755,23.8156690962116,24.0254135131836,33214100,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-04,23.9618508825507,24.0571883551056,23.8792231333276,23.9427814483643,11262800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-05,23.8792159571447,23.9809106853986,23.453370040267,23.5931987762451,15289400,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-06,23.8092978361033,23.8347221216021,23.5677743976449,23.6948909759521,11072700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-09,23.6948955138454,23.7330319493972,23.5677789111936,23.6694736480713,8451800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-10,23.6948965786166,23.9491346445323,23.6758295722807,23.8792190551758,10364500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-11,23.8919367582635,23.9491402151706,23.5232917193972,23.6821899414062,11421800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-12,23.5804906501603,23.9109991794511,23.5296444896661,23.7902374267578,10233200,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-13,23.8410881634153,23.8410881634153,23.4851576978555,23.6821899414062,10418000,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-16,23.6821761274605,23.6821761274605,23.4533648578938,23.4978561401367,10997200,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-17,23.4533734098992,23.6313386037641,23.3898126802376,23.5868473052979,12470800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-18,23.624980985078,23.624980985078,23.4533730788982,23.5741348266602,9437200,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-19,23.6376920167222,23.7775231888199,23.5359972800858,23.7203197479248,9684900,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-20,23.6758267444666,23.7203180369988,23.5296407226332,23.612268447876,10635000,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-23,23.3580286984294,23.4724355635728,23.2881131225536,23.4215869903564,9098900,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-24,23.4597278158683,23.54235555053,23.3898122268925,23.4533729553223,9070800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-25,23.3389561063954,23.3770901025817,23.033872013941,23.1355667114258,14045800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-26,23.0593076104619,23.3643918847101,23.0593076104619,23.2690544128418,11167700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-27,23.351679852027,23.3580347130187,23.1610000779597,23.307186126709,7431700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-05-31,23.4597209482454,23.5105695161037,23.3071776692636,23.47243309021,10904400,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-01,23.1737116580378,23.4406618804497,23.0211707520259,23.0529499053955,14500800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-02,23.0656527295865,23.0847197289835,22.8622633207085,22.9893798828125,12699800,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-03,22.7859945761852,22.9004014423503,22.6270964203552,22.6461658477783,12067300,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-06,22.608034748812,22.627101756138,22.3474418087831,22.3792209625244,13838900,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-07,22.4809130704662,22.6843025400495,22.3474391856634,22.4872703552246,12321900,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-08,22.576246080705,22.9703127551311,22.4936183761245,22.8177719116211,19441500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-09,22.894043930149,22.894043930149,22.5635355133682,22.6715850830078,13958500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-10,22.5508251980786,22.6143859129502,22.3537906188665,22.3665027618408,12515000,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-13,22.3919278286129,22.7669275733555,22.3919278286129,22.6461658477783,11569700,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-14,22.7605735298599,22.8114196807596,22.5635389367138,22.614387512207,14247500,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-15,22.5317586742713,22.6270961117128,22.2076050830273,22.3220119476318,13958900,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-16,22.3156628938684,22.4809159498481,22.2775264542144,22.3982906341553,10528100,0,0,VZ,Public Utilities,Telecommunications Equipment
2011-06-17,22.531762686069,22.8304896194197,22.5190505405614,22.569896697998,19263600,0,0,VZ,Public Utilities,Telecommunications Equipment
