Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,41.5708014535239,42.0172095794604,41.437660563077,41.7509307861328,9507400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-19,41.7117752347276,41.8762437665502,41.5864677265945,41.7822608947754,6147800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-20,42.0955258232418,42.2521609354461,42.009376362151,42.0485343933105,7400800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-21,42.150350657598,42.2365001248065,41.837080410943,41.9623908996582,5853300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-25,41.9780380705534,42.0250294885385,41.6882651285594,41.797908782959,5813800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-26,41.8135865106379,42.4714516436349,41.7274370427649,42.2208366394043,11991200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-27,42.1973359991121,42.7690515772911,42.1973359991121,42.620246887207,9716100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-28,42.5184359768446,42.9178526395215,42.5106025787644,42.8317031860352,9824600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-04-29,42.6124183319759,43.1997977445583,42.5497660815015,43.0588264465332,9815200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-02,43.1371473224966,43.1371473224966,42.8160436952777,43.1058197021484,8176700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-03,43.1371575462214,43.677545681253,43.0431746629026,43.4347610473633,11122600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-04,43.3172693774419,43.693191795736,43.2311199297475,43.3642578125,8163800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-05,43.1919620235506,43.5443872377198,42.9883355125189,43.1293067932129,11130100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-06,43.3094477599655,43.5052409261386,42.964852863025,43.090160369873,8042600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-09,43.0509950502327,43.3564318597743,42.8395381080348,43.1528053283691,6546500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-10,43.1919709891909,43.5443962765154,43.152809968318,43.489574432373,8755100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-11,43.4462118602145,43.8403890637986,43.3910272922993,43.4935111999512,9422200,0.365,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-12,43.5486990080643,44.013828231074,43.2885406087876,43.9271087646484,8950000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-13,43.9665258837509,44.171496707484,43.6275332462693,43.9271087646484,8952500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-16,43.8403846047112,44.5183698070901,43.7378977001501,44.1951446533203,14173500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-17,43.8009732905722,44.3764716646057,43.5487001131147,43.7852058410645,14590500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-18,43.7536655106433,43.7852004057443,43.3200712286712,43.501392364502,11416100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-19,43.5408073916466,43.8324976390091,43.3910211581,43.7378959655762,7691800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-20,43.7930826811904,43.90345180685,43.5013924194708,43.5881118774414,8798900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-23,43.3516149235549,43.7536743920387,43.3516149235549,43.5329360961914,7339400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-24,43.5486841621299,43.6038687115274,43.0520202102196,43.1860389709473,12240600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-25,43.0678074079611,43.1229919826703,42.7288147305569,43.012622833252,10197800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-26,42.988969240481,43.1229910671678,42.7209285944411,43.0599212646484,5771700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-27,43.1624067761575,43.430447413417,43.0599198540877,43.122989654541,5315500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-05-31,43.264895448091,43.5329360961914,43.2097108741292,43.5329360961914,8901100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-01,43.3437251301288,43.4935113854897,42.768226771321,42.8076438903809,11181600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-02,42.7366755919476,42.7366755919476,41.9010221598328,42.2163619995117,14784900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-03,41.9010335740448,42.4528791956436,41.814314117127,42.303092956543,13287400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-06,42.4607685494882,42.7209239381915,42.1769604837513,42.3819313049316,11242300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-07,42.5238311650791,42.8076392029669,42.3898123734838,42.4371147155762,9908300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-08,42.2636811042515,42.508069050723,42.1217770675045,42.3267478942871,11660600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-09,42.3582839537348,42.752461176093,42.2636822624222,42.2715644836426,11340800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-10,42.3109842287898,42.4450060565179,41.5383971859273,41.5620498657227,14585400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-13,41.7118235290468,41.9798640961513,41.4516681886021,41.4832000732422,12545100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-14,41.6724092105215,41.9877491293857,41.6014572024937,41.7118263244629,8797400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-15,41.4989772820287,41.4989772820287,40.8288772102904,41.2467041015625,15324000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-16,41.3570722625014,41.7591347018879,41.1521014359777,41.6487655639648,11743700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-17,41.8300754742923,42.0113965817516,41.640869140625,41.640869140625,20564300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-20,41.5462751943606,42.1769580781751,41.5462751943606,41.8143157958984,15198100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-21,41.8616128857192,42.011402130127,41.5856900786519,42.011402130127,10891000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-22,41.8616281513966,42.011417450428,41.648775055371,41.7906761169434,10582500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-23,42.0665866915404,42.3346272786914,41.5226202899891,42.011402130127,18154400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-24,41.9325613778421,42.1138824940427,41.270343689081,41.3176460266113,20767100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-27,41.2466988316737,41.5935736586629,41.2072817161371,41.2230491638184,10167000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-28,41.3413061276535,41.4122581481934,41.1048003949652,41.4122581481934,10987700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-29,41.4832140245408,41.6172358568326,41.3334277482936,41.4989814758301,8866800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-06-30,41.5147405965826,41.9089177777151,41.4280211355602,41.8931503295898,9984300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-01,41.9325679973521,42.2952132943335,41.7827817491931,42.1848411560059,9479800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-05,42.0508233604096,42.224262288876,41.7985501957313,42.0902404785156,9212500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-06,42.1217755212637,42.5317201671138,42.1217755212637,42.350399017334,8078200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-07,43.0204985802456,43.2097049560102,42.7209230716737,42.9574317932129,12820300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-08,42.768231314403,42.8234158884155,42.3898215180312,42.6342124938965,9133300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-11,42.4292451326853,42.6342190166634,42.3346434209523,42.4686622619629,7548400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-12,42.4607750599284,42.9022516678025,42.3819378032838,42.5238418579102,9485700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-13,42.6263159164639,42.7839873748088,42.4449947919338,42.5868988037109,10153400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-14,42.1927299933098,42.3346340331087,42.0823608528737,42.2794494628906,15522100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-15,42.358283703964,42.547490092807,42.1454276442657,42.2794494628906,10183500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-18,42.1060090853467,42.2084960011079,41.9246879312053,42.0350570678711,8219400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-19,42.0981273857934,42.5947885069403,42.0508250377794,42.5474891662598,8585400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-20,42.5001882262276,42.5474905758087,42.2557972643921,42.4844207763672,8857900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-21,42.5711456781519,43.1151092347325,42.5001936483949,42.9416732788086,10610600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-22,43.0283738069478,43.1387429141014,42.7682154766577,42.981071472168,6802500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-25,42.5947885069403,42.8864818086934,42.5317217169218,42.5474891662598,8177600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-26,42.5947843756912,42.6420867191174,42.1848397546635,42.2479095458984,10931400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-27,42.1296522605966,42.3740431736333,41.916796240984,41.979866027832,12200100,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-28,42.0271716816698,42.216375042466,41.7591310810975,41.7748985290527,8908600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-07-29,41.6093418212462,41.9010350973622,41.5226223611757,41.5541572570801,13193200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-01,41.6172218604608,41.7748933129927,41.049605834279,41.4832000732422,10688000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-02,41.1836326876555,41.4280206121769,40.734267940095,40.7421531677246,15239600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-03,40.8052132549877,41.0338367013937,40.2139475877995,40.4268035888672,21455400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-04,40.1981855249885,40.1981855249885,39.4728980332362,39.4965476989746,26071200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-05,39.882847334649,40.1430027105617,39.094492971843,40.087818145752,27298900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-08,40.0483948082953,40.4662246006669,38.448036662732,38.5662879943848,33042900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-09,38.897402968991,40.1351190330751,38.3692040012737,40.0641670227051,23988900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-10,39.7187559164126,39.7505189429164,38.3609183388058,38.4403228759766,27002900,0.365,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-11,38.7897044100225,40.0204958550656,38.7897044100225,39.4884757995605,21599500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-12,39.7822752678077,39.9490296270145,39.1311484300321,39.5043563842773,15160400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-15,39.6075957227123,39.7664078556936,39.1391015964165,39.6870002746582,14829700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-16,40.8463231017921,41.6721437580106,40.592224904354,41.2274703979492,25595500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-17,41.0686690701438,41.4339349194651,40.6239956259114,40.9336776733398,15513400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-18,40.1078451605152,41.2512899609491,39.9490360752008,41.1242408752441,25045700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-19,40.8860244619728,41.8785963965517,40.8780821902063,41.5292091369629,23035700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-22,41.4815616792429,41.7991828353459,41.3545126109839,41.4418563842773,13771300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-23,41.4180332557534,42.2517929077148,41.3942125034109,42.2517929077148,17170000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-24,42.1009263192646,42.4185474814852,41.9341749819171,42.3788452148438,11395700,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-25,42.386795499954,42.4741423205337,41.7277262385538,41.8468360900879,10970800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-26,41.9182989364967,42.2756254410507,41.2512904710256,42.0056457519531,10460200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-29,42.1723893056617,42.4344266744432,42.0850425063716,42.235912322998,8477000,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-30,41.9738711746492,42.1882670183952,41.616544768406,41.9421081542969,13484200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-08-31,42.0850425063716,42.3867851687131,41.9738749542165,42.235912322998,13230200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-01,42.2438560742241,42.5217749643545,41.8071250915527,41.8071250915527,12492600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-02,41.489505329872,41.799187277345,41.2671701940635,41.314811706543,10809500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-06,40.8780722312018,41.1242311014785,40.39369676048,41.0368843078613,17114400,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-07,41.3306884309952,41.7356594146773,41.1718763399255,41.6244888305664,10403500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-08,41.3545116858415,41.8865287006838,41.3386301740283,41.4577369689941,11602500,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-09,41.2115790330927,41.4339141291025,40.6557382639798,40.782787322998,12027800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-12,40.3778193491854,41.1559983009114,40.353998595449,41.1480560302734,11229300,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-13,41.1242318488327,41.1321710897202,40.6716193910352,40.9654197692871,10770800,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-14,41.0607128881334,41.9182964481553,40.9574875933481,41.4498023986816,12507600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-15,41.4656866090397,41.6959609985352,41.2433484332283,41.6959609985352,10999200,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-16,41.8865296232789,42.2041538083611,41.7277175307378,41.8071250915527,35684600,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
2011-09-19,41.433927136728,41.7833114014404,41.3227595538235,41.648323059082,9028900,0,0,WMT,Consumer Services,Department/Specialty Retail Stores
